,Prompt,Completion
245,"Create Sustainable Stores, Manufacturing Facili...",
246,Milk Musk - Quiz,
247,Milk Musk - Eliminating The Ouches,
248,Milk Musk - Focus On The WOW!,
249,Milk Musk - Last Impressions,
250,Milk Musk - First Impressions,
251,Maia Individuality_16x9,
252,Suede Orris - Last Impressions,
253,Jasmine and Sun Rose - Last Impressions,
254,Jasmine and Sun Rose - Focus on the WOW,
255,Jasmine and Sun Rose - First Impressions,
256,Jasmine and Sun Rose - Eliminating the Ouches,
257,Suede Orris - Eliminating the Ouches,
258,Suede Orris - Focus on the WOW!,
259,Suede Orris - First Impressions,
262,"Universal Profiler - ""I know what I want""",
263,"Fragrance Profiler - ""I need some help""",
264,Fragrance Profiler - Sampling,
265,Universal Profiler - Gifting,
266,Fragrance Profiler - Fully Immersive,
267,Fragrance Profiler - Just Browsing - Russian Le...,
271,"Fragrance Profiler - ""Booking a Consultation""",
272,Fragrance Refill Machine,
274,Gift Bags,
275,Hot Press,
277,Jerome Individuality_9x16,
278,MAIA LERNOUT,
280,Jacques Individuality,
283,Fragrance is Family,
284,Johnathan & Julie 2.0,
285,Molton Brown Factory,
287,Ingredientology,
288,"The Perfume Salon
Sian Atkins",
289,Fragrance Deconstructed,
290,Scents Of Smell,
292,The Molton Brown Discovery Guide,
293,Gifting Fragrance at Christmas - Outlets,
300,Mother's Day Campaign 2022,
303,Opulent Collections,
309,"Hair Care Collections
",
316,Christmas at Molton Brown,
329,Sustainability,
331,Campaign,
334,Category Collection Library,
335,Product Collection Library,
336,Homepage resources,
337,Fragrance Academy,
