Prompt,Completion
Hand Cream Category Sheet,"Graced with a symphony of exquisite notes, our creams deeply moisturise and scent hands. Discover our Alba White Truffl e hand 
treatment and exfoliator enriched with skin-boosting ingredients for long-lasting hydration.

A sumptuously hydrating hand cream perfectly sized for on- the-go use. Treat hands to an extra seal of moisture and leave them delicately fragranced.

Each of our hand creams is enriched with White Truffl e Extract and provides moisturisation, conditioning protection and leave skin feeling nourished.

Our enriching hand creams are perfectly blended to instantly moisturise and delicately scent your skin.

Subtly scented with our iconic fragrances, our hand creams add another layer to your fragrance, helping it last longer"
Fine Liquid Hand Wash Category Sheet,"Deeply cleanse and protect your hands with our decadent hand wash. Made in England with the fi nest ingredients, our liquid soaps scent
hands with uplifting, refreshing and unmistakeably indulgent notes.

Our hand washes and bath & shower gels are formulated diff erently. Bath & shower gels are formulated with increased lather ability

Our hand washes contain fragrance oils of up to 3%. They also contain skin conditioning ingredients like Glycerine to keep hands feeling moisturised.

Our hand washes deeply cleanse and nourish and protect your skin whilst leaving them smelling divine."
Eau de Toilette Category Sheet,"Open the doors to a world of fragrance with our Eaux de Toilette Collection, which includes woody, citrus, chypre, ambery, fl oral and 
aromatic scents for him and her.

We blend our Eaux de Toilette with a combination of naturally extracted oils and synthetics. It can take several years and hundreds
of ingredients before the desired formula is created by the perfumer through their expertise. The overarching ingredient can be found 
in the both the Eaux de Toilette, Eaux de Parfum and other products in each collection.

Our Eaux de Toilette collections contain up to 10% fragrance oil.

Designed to be re-spritzed and refreshed throughout the course of the day or evening, our Eaux de Toilette last for up to 4 hours on the skin.

Designed by Vincent Villeger, our bottles are inspired by our heritage. Each Eaux de Toilette bottle has a hue of colour at the base to represent its unique
collection"
Eau de Parfum Category Sheet,"Step inside an illuminating world of fragrance with citrus, woody, aromatic, ambery, fl oral and chypre Eaux de Parfum to truly suit your unique self.

Composed by the world’s most renowned perfumers. Our Eaux de Parfums contain 20% fragrance oils which means they last up to 8 hours on the skin.

In order to set each Eaux de Parfum apart from its Eaux de Toilette & enrich its olfactive experience, every Eaux de Parfum features a ‘signature’ key note, which is either an overdose of the one of the EDT ingredients or a completely new twist.

Each new Eaux de Parfum bottle is topped by its own exquisite spherical stopper. Crafted in resin and inspired by glass marble, each fragrance is typifi ed by its own colourway. The domed form is a subtle nod to our iconic Molton Brown Lens, a long-standing design feature on our bottles through the years.

Designed by Vincent Villeger, our bottles are inspired by our heritage. There is a nod to the 1970s, the decade we were born with the Mayfair Ebony glass – a direct reference to the fi rst bottles used in the South Molton Street salon. They exude confi dence, make a statement and stand out from the crowd"
Body Polisher Category Sheet,"Reveal your skin’s luminous radiance with our luxurious body scrubs

Each of our body polishers contain a unique exfoliating grain that removes dead skin. Pink Pepper uses bamboo stem particles, Eucalyptus uses sugar and Orange & Bergamot uses apricot kernel.

Exfoliation is an essential part of a skin care regime for healthy looking skin. Exfoliating 2-3 times a week ensures you remove dead skin cells.

Removing dead skin cells helps lotions and oils to be absorbed fully into the skin and achieve that healthy looking glow.

By adding one of our indulgent body polishers to your pampering ritual you will have exceptionally soft and beautifully scented skin."
Body Oil Category Sheet,"Infused with rich notes and the fi nest ingredients sourced from across the globe, our body and massage oils uncover divinely soft, moisturised skin with a luminous glow.

Our Body Oils leave skin satiny and luminous, whereas our lotion delivers a more matte moisturized look. Our Body Oils allow for sensuous application and massage, whereas our lotions deliver quicker absorption post application.

We use Argan Oil in some of our Body Oils. Argan Oil is high in vitamin E and essential fatty acids that are known to provide multiple conditioning and moisturising benefi ts for the body

Indian Moringa Oil found in our Mesmerising Oudh Accord & Gold Body Oil is an essential oil. Moringa oil helps in softening dry skin and maintaining moisture. Argan Oil can be found in our Flora Luminare Body Oil. It leaves skin feeling touchably smooth and iridescently aglow. antimicrobial and antiinfl ammatory eff ects.

We use the Eaux de Toilette structure to create the fragrances used within our luxurious Body Lotion. A harmonized blend of top, heart and base notes."
Body Lotion Category Sheet,"Our luxury body lotions leave your skin feeling nourished and moisturised following a relaxing bath or a quick yet luxurious shower.

Enriched with fast-absorbing oils, our lotions envelop post-bathing skin with soft hydration, intensive nourishment and captivating aromas.

Each body lotion contains Abyssinian oil - Abyssinian oil provides moisture to the skin. It can be applied to the skin easily without the feeling of greasiness.

By moisturising your skin with a Body Lotion, prior to fragrance application, can help to intensify the scent and make it last longer.

We use the Eaux de Toilette structure to create the fragrances used within our luxurious Body Lotion. A harmonized blend of top, heart and base notes."
Bathing Oil Category Sheet,"Unwind with our luxury bath oils, the perfect way to replenish skin, add a seal of extra moisture and relax the body and mind.

Our voluptuously scented bath oils transform your bath into a milky elixir for an intensely pampered experience.

Signature essential oil to leave skin feeling silky-soft and delicately perfumed. & Bergamot uses energising neroli oil while Heavenly Gingerlily uses
conditioning Argan Oil.

Neroli Oil found within our Orange & Bergamot Bathing oil is an essential oil that helps to repair and rejuvenate skin. Conditioning Argan Oil
found in our Heavenly Gingerlily Bathing Oil leaves skin feeling beautifully nourished. 

We use the Eaux de Toilette structure to create the fragrances used within our luxurious Body Lotion. A harmonized blend of top, heart and base notes."
Bath & Shower Gel Category Sheet,"Made in England from the fi nest ingredients sourced from around the world.

We use the Eaux de Toilette structure to create the fragrances used within our luxurious Bath & Shower Gels. A harmonized blend of top, heart and base notes.

All our Bath & Shower Gels are 100% Vegetarian. Our Bath & Shower Gels are paraben free. Parabens are preservatives that can be used in cosmetic products to prolong shelf-life.

At the luxury end ofthe market, the average fragrance oil level included in a Bath & Shower Gel is just 1%, however at Molton Brown, we triple that by
adding 3% fragrance oil to our Bath & Shower Gels."
Aroma Reed Refill Category Sheet,"A number of our Aroma Reed Diff users are also available in a refi ll option to ensure we replenish and reuse time and time again.

Our Aroma Reed Refi lls come with 150ml of refi llable oil and 8 new rattan reeds to ensure the refi lled fragrance is being dispersed correctly.
By adding more reeds to the diff user, the fragrance can be intensified

Positive luxury and sustainable practices have always been at the heart of Molton Brown do and our Aroma Reed Refi lls are an excellent way
to continue this message.

Our Aroma Reed Refi lls are available in our Iconic: Orange & Bergamot, Delicious Rhubarb & Rose and Re-charge Black Pepper."
Aroma Reed Category Sheet,"Envelop your home in a symphony of inviting scents with our Aroma Reed Diff users. A sophisticated décor statement, our carefully crafted aroma reeds fully absorb scented oils and provide a constant fl ow of elegant fragrance.

Our Aroma Reed diffi suers contain 150ml of wonderfully blended oils that diff use perfectly around a room. We use up to 15% fragrance oil that is based on the matching Eau de Toilette structure to ensure a subtle fragrance is emitted for up to 5 months.

We use rattan reeds to soak up the scent and emit our iconic aromas. They disperse the scent into the air naturally and due to its porous strucute, they help to provide a controlled rate of fragrance release.

Our Aroma Reed packaging is more sustainable than ever before. We use 50% recycled paper materials to craft the boxes that hold our Diff users.
Our iconic glass vessel is also endlessly reusable, whether it be through reusing as a small vase or refi lling with our refi ll option. 

Our Aroma Reed Diff users come in the iconic: Orange & Bergamot, Delicious Rhubarb & Rose, Re-charge Black Pepper, Intoxicating Davana Blossom and
Lemon & Mandarin"
Vetiver & Grapefruit Collection Sheet,"Vetiver & Grapefruit Reinvigorating. Debonair. Timeless.

This award-winning scent conveys the tense collision of woody and citrus notes. The contradiction of warm, Haitian vetiver and piercing grapefruit makes a sophisticated and invigorating pairing, appealing to both masculine and feminine tastes. The Eau de Parfum was created by New Generation Perfumer Julie Pluchet, who chose dry cedarwood as the signature note for an intense woody sensation. Collection Launch – 2018 Eau de Parfum Launch – 2020

Fragrance Construction
Eau de Parfum

Sharp citrus top notes confront a spicy heart of nutmeg and uplifting lavender. Earthy Haitian vetiver and patchouli descend into a rich base.

SIGNATURE Cedarwood - Dry 

TOP Grapefruit - Sharp Mandarin Black Pepper Cardamom

HEART Nutmeg - Spicy Lavender Geranium Saffron

BASE Vetiver - Earthy Patchouli Moss Amber

SIGNATURE NOTE Cedarwood Warm and dry cedarwood adds an extra, intense woody element to the fragrance, layering vetiver’s clean and earthy tones.

Fragrance Construction
Eau de Toilette

Piercing grapefruit at the top is softened by a fresh rose and neroli heart. It fi nishes with an earthy, enveloping base of vetiver, patchouli and cedarwood

TOP  Grapefruit - Piercing Cardamom White Pepper

HEART Rose - Fresh Neroli Lychee

BASE  Vetiver - Earthy Cedarwood Amber

OVERARCHING NOTE Vetiver
Haitian vetiver is lauded as the world’s most precious incarnation of this oil. Not only is it used for its elegant aroma in perfumery, but its deep roots are harvested by local farmers to thatch roofs and prevent land erosion

What Products Are Available In This Collection? 
FRAGRANCE
Eau de Parfum Eau de Toilette

BODY Bath & Shower Gel Body Lotion Deodorant

The Ritual

CLEANSE
Awake your senses with a stimulating Bath & Shower Gel in the morning.
HYDRATE
Follow up with the complementing Body Lotion to keep skin moisturised for an active day.
TREAT
Enjoy a few spritzes of the Eau de Toilette for a refreshing yet classic finish or choose the Eau de Parfum for a woodier accent. Pop the Deodorant spray in your bag to rejuvenate on-the-go.

Fragrance Family

PRIMARY FRAGRANCE FAMILY - Citrus
Fresh, zesty and sparkling. As one of the oldest fragrance families in the world, citrus contains essential oils extracted from cold expression of fruit zest, such as lemon, bergamot, orange and grapefruit.
SECONDARY FRAGRANCE FAMILY - Woody
Warm but fresh, the typical woody notes used in this family are usually sandalwood, cedarwood, patchouli and vetiver.
PERSONALITY PROFILER - Discerning and smart
Vetiver & Grapefruit fans have a perceptive attitude that sets them apart. They have an active lifestyle that benefits body and mind with a fondness for fresh fragrances."
Rosa Absolute Collection Sheet,"ROSA ABSOLUTE Voluptuous. Dramatic. Impassioned.

A private dressing chamber, draped in deepest ruby velvet. Hushed, dark whispers unmasked sub rosa. The theatre of nightfall, a promise full of mystery. Devote your senses to an intoxicating secret. 

FRAGRANCE FAMILY - FLORAL ROSE 

PRIMARY FRAGRANCE FAMILY - Floral One of the most popular and ancient families in perfume history. As its name implies, flowers take centre stage to create a fragrant bouquet with blossoms such as rose, jasmine, violet, iris, lily, lily of the valley, narcissus or tuberose. 

SECONDARY FRAGRANCE FAMILY - Rose The king of flowers, lemony fresh with various nuances of powder, wood notes or fruit, feminine, clean, intensely romantic.

Fragrance Construction
Bath & Body Collection

Blackcurrant intermingles with raspberry, whilst pink peppercorn adds a hint of spice and its fl oral nuances pave the way to rose absolute.Geranium oil is floral and aromatic and is complemented by powdery notes of violet leaf. The base is deepened by indulgent patchouli, warm amber and incense hues from labdanum

TOP
Blackcurrant
Pink Pepper
Raspberry

HEART
Rose
Violet Leaf
Geranium

BASE
Patchouli
Labdanum
Vanilla

LONDON VIA LOMBARDIA
The lead ingredient, Italian rose oil, comes from Lombardia. The oil is taken from an intriguingly voluptuous, classic Italian red rose, extracted in its purest, most concentrated form. Rosa Absolute is inspired by the ancient Italian tradition of sub rosa. Signifying secrecy, roses were painted on the ceilings of banquet rooms as a reminder that words spoken in the room should remain confidential.

What Products Are Available In This Collection?
BODY
Bath & Shower Gel
Body Lotion

FRAGRANCE
Eau de Parfum
Eau de Toilette
Eau de Toilette 50ml

Core Alternative
FRAGRANCE
Eau de Parfum
Eau de Toilette
Eau de Toilette 50ml

DELICIOUS RHUBARB & ROSE
Rhubarb, grapefruit essential oil and citrusy litsea cubea have metallic top notes. Rose in the heart also has metallic accents; the coolness is tinged with the tartness of rhubarb in the top note. Sweet vanilla and candy fl oss soften the tart coolness for a sweet, comforting ending."
Inspiring Wild Indigo Collection Sheet,"WILD INDIGO Botanical. Inspiring. Restorative.

A glimpse of ancient spires through tall trees. Hidden in nature’s sanctuary, hazy watercolours of flora bloom. Wild indigo bows beneath a meditative monsoon. Discover a bouquet of warm aromas blossoming in south Indian woods. 

FRAGRANCE FAMILY - FLORAL FRUITY

 PRIMARY FRAGRANCE FAMILY - Floral One of the most popular and ancient families in perfume history. As its name implies, flowers take centre stage to create a fragrant bouquet with blossoms such as rose, jasmine, violet, iris, lily, lily of the valley, narcissus or tuberose. 

SECONDARY FRAGRANCE FAMILY - Fruity
Delicious, fruity notes such as raspberry, peach, lychee, apple and strawberries.

Fragrance Construction
Bath & Body Collection

Blended with clary sage, gardenia and wild indigo seed for a rejuvenating, fl oral scent

TOP
Cardamom
Passion Fruit
Peach

HEARTGardenia
Lily of the Valley
Rose

BASE
Musk
Orris
Oudh

LONDON VIA TAMIL NADU
Tehphrosia purpurea is commonly known as ‘Wild Indigo’. Wild Indigo is native to India and is known to grow in the state of Tamil Nadu. Wild Indigo has been described as one of the most important herbs in Ayurveda, the Indian traditional system of medicine, as it is considered to be able to heal all types of wounds.

What Products Are Available In This Collection?
BODY
Bath & Shower Gel
Body Lotion

Core Alternative
DELICIOUS RHUBARB & ROSE Rhubarb, grapefruit essential oil and citrusy litsea cubea have metallic top notes. Rose in the heart also has metallic accents; the coolness is tinged with the tartness of rhubarb in the top note. Sweet vanilla and candy fl oss soften the tart coolness for a sweet,
comforting ending.
"
Invigorating Suma Ginseng Collection Sheet,"SUMA GINSENG Energetic. Intrepid. Invigorative.
The heart of the Paraná jungle, alive with the resounding calls of wildlife. A wooden canoe tied to the rushing river bank. Bushels of twisted, light-golden ginseng roots in woven baskets. Embark on an expedition into a rare, untouched world. 

FRAGRANCE FAMILY - AROMATIC WOODY

PRIMARY FRAGRANCE FAMILY - Aromatic A gathering of restorative and herbaceous scents, usually mint, lavender, rosemary, sage, eucalyptus or thyme. 

SECONDARY FRAGRANCE FAMILY - Woody Warm but fresh, the typical woody notes used in this family are usually sandalwood, cedarwood, patchouli and vetiver.

Fragrance Construction
Bath & Body Collection
Stimulating Brazilian suma ginseng is joined by juniper berry, cinnamon, oakmoss, armoise and geranium to revitalise the senses, leaving you refreshed and full ofenergy

TOP
Lemon
Bergamot
Galbanum

HEART
Juniper Berry
Cinnamon
Geranium

BASE
Patchouli
Cedar Leaf
Amber

LONDON VIA BRAZIL
Suma (Hebanthe eriantha,) commonly referred to as Brazilian ginseng, is a species of plant in the Amaranthaceae family. The root of the suma plant is commonly used to make medicine.

What Products Are Available In This Collection?
FRAGRANCE Eau de Toilette 50ml Eau de Toilette 100ml (Old Pack)

BATH
Bath & Shower Gel
Body Lotion

Core Alternative
DELICIOUS RHUBARB & ROSE

Rhubarb, grapefruit essential oil and citrusy litsea cubea have metallic top notes. Rose in the heart also has metallic accents; the coolness is tinged with the tartness of rhubarb in the top note. Sweet vanilla and candy fl oss soften the tart coolness for a sweet, comforting ending."
Sensual Hanaleni Collection Sheet,"SENSUAL HANALENI Sensual. Blooming. Paradisal
The secluded crescent of creamy sands sweeps into magnificent jade mountains. Deeply flushed pink blooms lavish the quilted valley. Cascading waterfalls pour into a bountiful paradise. Sensually sway in the perfumed sunset of the Orchid Isles. 

FRAGRANCE FAMILY - AMBERY FLORAL 

PRIMARY FRAGRANCE FAMILY - Ambery Defined as warm, opulent and mysterious, ambery fragrances are originally built around raw materials such as ambergris and musk, combined with woody, tobacco, spicy and marine facets. With access to synthetic ingredients, contemporary ambery perfumes are softer, usually featuring vanilla, labdanum, cinnamon, pepper or oudh accord. 

SECONDARY FRAGRANCE FAMILY - Floral One of the most popular and ancient families in perfume history. As its name implies, flowers take centre stage to create a fragrant bouquet with blossoms such as rose, jasmine, violet, iris, lily,lily of the valley, narcissus or tuberose.

Fragrance Construction
Bath & Body Collection
A refreshing and enchanting aroma to awaken the senses. Wear a wonderfully delicate scent on the skin and start your day with a smile on 

TOP
Mandarin
Bergamot
Cinnamon

HEART
Rose
Lily of the Valley
Orange Blossom

BASE
Incense
Patchouli
Sandalwood

LONDON VIA TAMIL NADU
Inspired by the Hanalei orchid, a hybrid created in Hawaii, “Hanalei“, meaning crescent shaped’, is the name of the northern part of the island of Kauai, and a valley in this area which is the home of the Hanalei National Wildlife Refuge.

What Products Are Available In This Collection?
BODY
Bath & Shower Gel
Body Lotion
Core Alternative
HEAVENLY GINGERLILY
A transparent aquatic opening is intensifi ed with spicy cardamom and ginger. In the heart, tagete reinforces the fruit facet of tuberose, entwining the
floral elements of white lily and jasmine. The soft creaminess of the white fl ower radiates in the base with sandalwood and musks. 

"
